"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Myom1",0.457474317469435,0.228737158734811,14.4716829288695,5.449976339741e-47,8.16297456166407e-43,95.5918423700155
"mt-Cytb",0.394071337497741,0.19703566874895,14.2532663138629,1.19578662512053e-45,8.95524603552763e-42,92.5550144714277
"mt-Nd4l",0.431804278009101,0.215902139004637,13.6125780444582,7.94317009353976e-42,3.96576005536795e-38,83.9030632256977
"mt-Nd3",0.701100190685713,0.350550095342998,13.4985300350289,3.65462025670144e-41,1.15076797006235e-37,82.403096427
"mt-Atp6",0.511510502586398,0.255755251293302,13.4947874766411,3.84152747383613e-41,1.15076797006235e-37,82.3540801399144
"mt-Nd1",0.442179008001181,0.22108950400068,13.326471302009,3.57094770301698e-40,8.91427578263139e-37,80.1631920686012
"mt-Nd2",0.402685988469728,0.201342994234946,13.1450347870066,3.83309977115909e-39,8.20173833891726e-36,77.8312396456267
"mt-Nd4",0.384343114687498,0.192171557343827,12.9072991804871,8.19844028401266e-38,1.53495298217427e-34,74.8224298249467
"mt-Co3",0.496059683091411,0.248029841545805,12.8186187668644,2.53498798643982e-37,4.21878334009952e-34,73.7136748203131
"Dmd",0.359306803221193,0.179653401610669,12.7226859862472,8.52461625592928e-37,1.27681702281309e-33,72.5225715978386
